model,threshold,guarded_all_cuda,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,num_payload_objects,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,payload_object_status
resnet18,2048,no,3,official_minimal,0,2,yes,yes,14.292155,12.038717,26.330872,42.661865,20,81,42.582031,0.079834,558131.200,40,20,2,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass,constant_small
resnet18,2048,no,4,official_minimal,0,1,yes,yes,13.177532,13.286530,26.464062,42.661865,20,81,42.582031,0.079834,558131.200,40,20,2,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass,constant_small
resnet18,1024,no,0,official_minimal,0,1,yes,yes,12.951085,11.882927,24.834013,42.661865,21,80,42.588623,0.073242,531635.810,42,21,2,11164352,11265962,3.970740,3.815618,1.040655,0.000529421,0.020185389,1.000000000,pass,pass,constant_small
resnet18,1024,no,1,official_minimal,0,2,yes,yes,13.342303,11.183390,24.525694,42.661865,21,80,42.588623,0.073242,531635.810,42,21,2,11164352,11265970,3.970737,3.800295,1.044850,0.000510836,0.020204650,1.000000000,pass,pass,constant_small
resnet18,1024,no,2,official_minimal,0,1,yes,yes,12.848842,11.635995,24.484837,42.661865,21,80,42.588623,0.073242,531635.810,42,21,2,11164352,11265962,3.970740,3.815618,1.040655,0.000529421,0.020185389,1.000000000,pass,pass,constant_small
resnet18,1024,no,3,official_minimal,0,2,yes,yes,13.286668,11.537260,24.823928,42.661865,21,80,42.588623,0.073242,531635.810,42,21,2,11164352,11265970,3.970737,3.800295,1.044850,0.000510836,0.020204650,1.000000000,pass,pass,constant_small
resnet18,1024,no,4,official_minimal,0,1,yes,yes,13.535498,11.493028,25.028526,42.661865,21,80,42.588623,0.073242,531635.810,42,21,2,11164352,11265962,3.970740,3.815618,1.040655,0.000529421,0.020185389,1.000000000,pass,pass,constant_small
resnet18,512,no,0,official_minimal,0,1,yes,yes,12.249943,10.325253,22.575196,42.661865,41,60,42.627686,0.034180,272551.024,82,41,2,11174592,11233558,3.982194,3.815618,1.043657,0.000529421,0.020186199,1.000000000,pass,pass,constant_small
resnet18,512,no,1,official_minimal,0,2,yes,yes,11.287949,10.533737,21.821686,42.661865,41,60,42.627686,0.034180,272551.024,82,41,2,11174592,11233573,3.982189,3.800295,1.047863,0.000510836,0.020205414,1.000000000,pass,pass,constant_small
resnet18,512,no,2,official_minimal,0,1,yes,yes,11.860914,11.325967,23.186881,42.661865,41,60,42.627686,0.034180,272551.024,82,41,2,11174592,11233558,3.982194,3.815618,1.043657,0.000529421,0.020186199,1.000000000,pass,pass,constant_small
resnet18,512,no,3,official_minimal,0,2,yes,yes,11.142253,10.463508,21.605761,42.661865,41,60,42.627686,0.034180,272551.024,82,41,2,11174592,11233573,3.982189,3.800295,1.047863,0.000510836,0.020205414,1.000000000,pass,pass,constant_small
resnet18,512,no,4,official_minimal,0,1,yes,yes,11.786929,10.805693,22.592622,42.661865,41,60,42.627686,0.034180,272551.024,82,41,2,11174592,11233558,3.982194,3.815618,1.043657,0.000529421,0.020186199,1.000000000,pass,pass,constant_small
resnet18,guarded_all_cuda,yes,0,official_minimal,0,1,yes,yes,10.633916,10.174189,20.808104,42.661865,101,0,42.661865,0.000000,110728.238,202,101,1,11183552,11194644,3.996037,3.815618,1.047284,0.000529421,0.020186687,1.000000000,pass,pass,constant_small
resnet18,guarded_all_cuda,yes,1,official_minimal,0,2,yes,yes,10.237377,10.735354,20.972732,42.661865,101,0,42.661865,0.000000,110728.238,202,101,1,11183552,11194644,3.996037,3.800295,1.051507,0.000510836,0.020205861,1.000000000,pass,pass,constant_small
resnet18,guarded_all_cuda,yes,2,official_minimal,0,1,yes,yes,9.800943,10.455302,20.256245,42.661865,101,0,42.661865,0.000000,110728.238,202,101,1,11183552,11194644,3.996037,3.815618,1.047284,0.000529421,0.020186687,1.000000000,pass,pass,constant_small
resnet18,guarded_all_cuda,yes,3,official_minimal,0,2,yes,yes,10.220469,10.727769,20.948238,42.661865,101,0,42.661865,0.000000,110728.238,202,101,1,11183552,11194644,3.996037,3.800295,1.051507,0.000510836,0.020205861,1.000000000,pass,pass,constant_small
resnet18,guarded_all_cuda,yes,4,official_minimal,0,1,yes,yes,10.574607,9.471712,20.046319,42.661865,101,0,42.661865,0.000000,110728.238,202,101,1,11183552,11194644,3.996037,3.815618,1.047284,0.000529421,0.020186687,1.000000000,pass,pass,constant_small
