model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet50,262144,0,round0,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2095427,8388608,8388608,4.00329288493467,6293181,8388608,8388608,100.0,0.0,3.324376419186592,0.0,0.0,0.0,0.06952974945306778,0.0,not_checked,,1
resnet50,524288,0,round0,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2095427,8388608,8388608,4.00329288493467,6293181,8388608,8388608,100.0,0.0,3.872966393828392,0.0,0.0,0.0,0.07361546158790588,0.0,not_checked,,1
resnet50,1048576,0,round0,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2095427,8388608,8388608,4.00329288493467,6293181,8388608,8388608,100.0,0.0,3.9494838565587997,0.0,0.0,0.0,0.07409416139125824,0.0,not_checked,,1
resnet50,262144,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,6.410537287592888,0.0,0.0,0.0,0.24227891117334366,0.0,not_checked,,1
resnet50,524288,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,7.9565877094864845,0.0,0.0,0.0,0.08881278336048126,0.0,not_checked,,1
resnet50,1048576,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,4.702703095972538,0.0,0.0,0.0,0.07336586713790894,0.0,not_checked,,1
resnet50,262144,2,hot,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2175329,8650793,8650793,3.976774547666123,6475464,8388608,8388608,100.0,5.724127769470215,4.613169468939304,0.0,0.0,0.0,0.09172223508358002,0.0,not_checked,,1
resnet50,524288,2,hot,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2175329,8650793,8650793,3.976774547666123,6475464,8388608,8388608,100.0,5.697504043579102,4.865765571594238,0.0,0.0,0.0,0.10055676102638245,0.0,not_checked,,1
resnet50,1048576,2,hot,raw_v0,layer4.0.shortcut.0.weight,2048x1024x1x1,2097152,cuda,2175329,8650793,8650793,3.976774547666123,6475464,8388608,8388608,100.0,5.700575828552246,4.809056408703327,0.0,0.0,0.0,0.08609797805547714,0.0,not_checked,,1
resnet50,262144,1,hot,raw_v0,layer4.0.conv3.weight,2048x512x1x1,1048576,cuda,1089413,4325410,4325410,3.9704042452219683,3235997,4194304,4194304,100.0,2.853856086730957,2.657916396856308,0.0,0.0,0.0,0.07001031190156937,0.0,not_checked,,1
resnet50,524288,1,hot,raw_v0,layer4.0.conv3.weight,2048x512x1x1,1048576,cuda,1089413,4325410,4325410,3.9704042452219683,3235997,4194304,4194304,100.0,2.8528640270233154,2.5290315970778465,0.0,0.0,0.0,0.07188785821199417,0.0,not_checked,,1
