model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,1,hot,cpu_codec_full_residual_probe,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2420603,0,8765719,3.6212956027898833,6345116,9437184,9437184,100.0,0.4700480103492737,5.785743705928326,278.74287869781256,0.0,278.74287869781256,0.18675997853279114,0.0,not_checked,,1
resnet18,1048576,1,hot,hybrid_compact_v1a,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2420603,0,2898529,1.1974408855975143,477926,9437184,2359296,25.0,0.46902400255203247,1.2074746191501617,594.9722584336996,4.045476205646992,590.9267822280526,0.15641096979379654,0.0,not_checked,,1
resnet18,524288,2,hot,hybrid_compact_v1a,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2453780,0,2932296,1.1950117777469862,478516,9437184,2359296,25.0,0.4689919948577881,1.7366446554660797,601.4786381274462,4.322214052081108,597.1564240753651,0.1654820516705513,0.0,not_checked,,1
resnet18,524288,1,hot,cpu_codec_full_residual_probe,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2418130,0,8765493,3.6249056088795886,6347363,9437184,9437184,100.0,0.46799999475479126,4.260936751961708,271.30982652306557,0.0,271.30982652306557,0.1557460054755211,0.0,not_checked,,1
resnet18,524288,2,hot,hybrid_compact_v1a,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2421004,0,2876761,1.1882512379161703,455757,9437184,2359296,25.0,0.46799999475479126,1.344475895166397,562.42133397609,4.319118335843086,558.1022156402469,0.233563594520092,0.0,not_checked,,1
resnet18,524288,1,hot,cpu_codec_full_residual_probe,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2420603,0,8765719,3.6212956027898833,6345116,9437184,9437184,100.0,0.4679679870605469,3.9015375077724457,271.0654567927122,0.0,271.0654567927122,0.1695258542895317,0.0,not_checked,,1
resnet18,524288,1,hot,hybrid_compact_v1a,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2418130,0,2894344,1.1969348215356495,476214,9437184,2359296,25.0,0.4679679870605469,1.365981064736843,594.6980183944106,3.2678134739398956,591.4302049204707,0.1691048964858055,0.0,not_checked,,1
resnet18,1048576,1,hot,hybrid_compact_v1a,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2418130,0,2894344,1.1969348215356495,476214,9437184,2359296,25.0,0.4679679870605469,1.2290123850107193,592.192281037569,4.05888631939888,588.1333947181702,0.1636836677789688,0.0,not_checked,,1
resnet18,262144,2,hot,hybrid_compact_v1a,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2421004,0,2876761,1.1882512379161703,455757,9437184,2359296,25.0,0.4679360091686249,1.177620142698288,576.1583559215069,4.007032141089439,572.1513237804174,0.1533813774585724,0.0,not_checked,,1
resnet18,1048576,2,hot,hybrid_compact_v1a,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2421004,0,2876761,1.1882512379161703,455757,9437184,2359296,25.0,0.4679360091686249,1.2688413262367249,575.3433778882027,3.9798347279429436,571.3635431602597,0.15630759298801422,0.0,not_checked,,1
