timestamp,client_id,layer_name,input_type,input_device,dtype,shape,numel,is_cuda,gpu_to_cpu_numpy_ms,ctypes_build_ms,c_compress_ms,payload_copy_ms,layer_total_ms,model_total_ms,status
1779689371.0368953,numpy_cpu_client,layer2.0.bn2.bias,ndarray,cpu,float32,128,128,False,0.000000,0.007634,0.022173,0.007593,0.047037,323.867873,ok
1779689371.036943,numpy_cpu_client,layer2.0.bn2.running_mean,ndarray,cpu,float32,128,128,False,0.000000,0.006458,0.022279,0.007511,0.044713,323.867873,ok
1779689371.0369866,numpy_cpu_client,layer2.0.bn2.running_var,ndarray,cpu,float32,128,128,False,0.000000,0.006047,0.020640,0.007051,0.041144,323.867873,ok
1779689371.0378063,numpy_cpu_client,layer2.0.shortcut.0.weight,ndarray,cpu,float32,128x64x1x1,8192,False,0.000000,0.007018,0.783076,0.017427,0.817144,323.867873,ok
1779689371.0378757,numpy_cpu_client,layer2.0.shortcut.1.weight,ndarray,cpu,float32,128,128,False,0.000000,0.012423,0.026336,0.009390,0.064854,323.867873,ok
1779689371.0379267,numpy_cpu_client,layer2.0.shortcut.1.bias,ndarray,cpu,float32,128,128,False,0.000000,0.007718,0.021397,0.009025,0.047416,323.867873,ok
1779689371.0379748,numpy_cpu_client,layer2.0.shortcut.1.running_mean,ndarray,cpu,float32,128,128,False,0.000000,0.007433,0.021819,0.008009,0.045332,323.867873,ok
1779689371.03802,numpy_cpu_client,layer2.0.shortcut.1.running_var,ndarray,cpu,float32,128,128,False,0.000000,0.006896,0.021041,0.007140,0.042507,323.867873,ok
1779689371.042279,numpy_cpu_client,layer2.1.conv1.weight,ndarray,cpu,float32,128x128x3x3,147456,False,0.000000,0.006900,4.214430,0.025317,4.256555,323.867873,ok
1779689371.0423787,numpy_cpu_client,layer2.1.bn1.weight,ndarray,cpu,float32,128,128,False,0.000000,0.014610,0.044936,0.009582,0.093588,323.867873,ok
