timestamp,client_id,layer_name,input_type,input_device,dtype,shape,numel,is_cuda,gpu_to_cpu_numpy_ms,ctypes_build_ms,c_compress_ms,payload_copy_ms,layer_total_ms,model_total_ms,status
1779689584.14398,resnet50_cuda_client,layer3.1.bn2.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.044628,0.011371,0.031916,0.012252,0.107908,739.525318,ok
1779689584.144113,resnet50_cuda_client,layer3.1.bn3.running_mean,Tensor,cuda:0,torch.float32,1024,1024,True,0.046051,0.011788,0.052982,0.010380,0.129960,739.525318,ok
1779689584.1442485,resnet50_cuda_client,layer3.1.bn3.running_var,Tensor,cuda:0,torch.float32,1024,1024,True,0.048976,0.012578,0.051165,0.010266,0.131746,739.525318,ok
1779689584.1443691,resnet50_cuda_client,layer3.2.bn1.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.047466,0.012442,0.032428,0.012778,0.117257,739.525318,ok
1779689584.1444805,resnet50_cuda_client,layer3.2.bn1.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.045747,0.011675,0.031869,0.009759,0.107814,739.525318,ok
1779689584.1445975,resnet50_cuda_client,layer3.2.bn2.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.048907,0.011459,0.032477,0.009539,0.113660,739.525318,ok
1779689584.1447089,resnet50_cuda_client,layer3.2.bn2.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.044369,0.011292,0.031829,0.012221,0.107801,739.525318,ok
1779689584.144844,resnet50_cuda_client,layer3.2.bn3.running_mean,Tensor,cuda:0,torch.float32,1024,1024,True,0.047323,0.011822,0.053097,0.010240,0.131226,739.525318,ok
1779689584.1449788,resnet50_cuda_client,layer3.2.bn3.running_var,Tensor,cuda:0,torch.float32,1024,1024,True,0.049789,0.012593,0.049809,0.009877,0.130912,739.525318,ok
1779689584.1450956,resnet50_cuda_client,layer3.3.bn1.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.045875,0.015813,0.032722,0.009924,0.113180,739.525318,ok
1779689584.1452122,resnet50_cuda_client,layer3.3.bn1.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.045817,0.015570,0.030839,0.011614,0.112824,739.525318,ok
1779689584.1454494,resnet50_cuda_client,layer3.3.bn2.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.159645,0.017847,0.034713,0.012350,0.233741,739.525318,ok
1779689584.145568,resnet50_cuda_client,layer3.3.bn2.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.048504,0.012629,0.032431,0.009893,0.114396,739.525318,ok
1779689584.145703,resnet50_cuda_client,layer3.3.bn3.running_mean,Tensor,cuda:0,torch.float32,1024,1024,True,0.047889,0.011288,0.053813,0.009857,0.131753,739.525318,ok
1779689584.145837,resnet50_cuda_client,layer3.3.bn3.running_var,Tensor,cuda:0,torch.float32,1024,1024,True,0.047982,0.012003,0.050390,0.010076,0.129390,739.525318,ok
1779689584.1459508,resnet50_cuda_client,layer3.4.bn1.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.046902,0.012092,0.031460,0.010401,0.109813,739.525318,ok
1779689584.146063,resnet50_cuda_client,layer3.4.bn1.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.046109,0.011656,0.031625,0.010554,0.108603,739.525318,ok
1779689584.146176,resnet50_cuda_client,layer3.4.bn2.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.044603,0.011267,0.031111,0.013977,0.109103,739.525318,ok
1779689584.146287,resnet50_cuda_client,layer3.4.bn2.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.045821,0.011616,0.031956,0.009350,0.107354,739.525318,ok
1779689584.1464436,resnet50_cuda_client,layer3.4.bn3.running_mean,Tensor,cuda:0,torch.float32,1024,1024,True,0.048998,0.013852,0.056694,0.010957,0.153122,739.525318,ok
1779689584.1465833,resnet50_cuda_client,layer3.4.bn3.running_var,Tensor,cuda:0,torch.float32,1024,1024,True,0.048466,0.013060,0.051500,0.013516,0.136297,739.525318,ok
1779689584.146702,resnet50_cuda_client,layer3.5.bn1.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.048553,0.013086,0.032237,0.009900,0.115095,739.525318,ok
1779689584.146812,resnet50_cuda_client,layer3.5.bn1.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.044904,0.011541,0.031764,0.009401,0.106120,739.525318,ok
1779689584.146925,resnet50_cuda_client,layer3.5.bn2.running_mean,Tensor,cuda:0,torch.float32,256,256,True,0.044651,0.010771,0.032205,0.013601,0.109685,739.525318,ok
1779689584.1470358,resnet50_cuda_client,layer3.5.bn2.running_var,Tensor,cuda:0,torch.float32,256,256,True,0.046347,0.011629,0.031412,0.009443,0.107165,739.525318,ok
1779689584.1471696,resnet50_cuda_client,layer3.5.bn3.running_mean,Tensor,cuda:0,torch.float32,1024,1024,True,0.045805,0.011210,0.055149,0.009794,0.130215,739.525318,ok
1779689584.1473043,resnet50_cuda_client,layer3.5.bn3.running_var,Tensor,cuda:0,torch.float32,1024,1024,True,0.046874,0.012734,0.052996,0.009761,0.130997,739.525318,ok
1779689584.1474226,resnet50_cuda_client,layer4.0.bn1.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.045774,0.012020,0.038459,0.009662,0.114671,739.525318,ok
1779689584.1475523,resnet50_cuda_client,layer4.0.bn1.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.046357,0.018861,0.039659,0.011316,0.126089,739.525318,ok
1779689584.1476727,resnet50_cuda_client,layer4.0.bn2.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.046061,0.011973,0.040225,0.009425,0.116702,739.525318,ok
1779689584.1477983,resnet50_cuda_client,layer4.0.bn2.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.046103,0.011637,0.039799,0.012677,0.121920,739.525318,ok
1779689584.1479762,resnet50_cuda_client,layer4.0.bn3.running_mean,Tensor,cuda:0,torch.float32,2048,2048,True,0.050382,0.011993,0.091705,0.011162,0.173884,739.525318,ok
1779689584.1481345,resnet50_cuda_client,layer4.0.bn3.running_var,Tensor,cuda:0,torch.float32,2048,2048,True,0.050727,0.012976,0.070684,0.010788,0.154385,739.525318,ok
1779689584.1482906,resnet50_cuda_client,layer4.0.shortcut.1.running_mean,Tensor,cuda:0,torch.float32,2048,2048,True,0.051065,0.012479,0.068570,0.011185,0.152327,739.525318,ok
1779689584.1484458,resnet50_cuda_client,layer4.0.shortcut.1.running_var,Tensor,cuda:0,torch.float32,2048,2048,True,0.050436,0.012809,0.068253,0.010681,0.151266,739.525318,ok
1779689584.1485693,resnet50_cuda_client,layer4.1.bn1.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.047561,0.012401,0.039867,0.010746,0.119733,739.525318,ok
1779689584.1486905,resnet50_cuda_client,layer4.1.bn1.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.045715,0.011511,0.038408,0.013184,0.117562,739.525318,ok
1779689584.14881,resnet50_cuda_client,layer4.1.bn2.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.046015,0.011764,0.039294,0.010496,0.116197,739.525318,ok
1779689584.1489363,resnet50_cuda_client,layer4.1.bn2.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.044871,0.011617,0.048328,0.009777,0.122785,739.525318,ok
1779689584.1491008,resnet50_cuda_client,layer4.1.bn3.running_mean,Tensor,cuda:0,torch.float32,2048,2048,True,0.048461,0.012252,0.077732,0.010387,0.160978,739.525318,ok
1779689584.1492832,resnet50_cuda_client,layer4.1.bn3.running_var,Tensor,cuda:0,torch.float32,2048,2048,True,0.050474,0.012503,0.093049,0.013632,0.178751,739.525318,ok
1779689584.149413,resnet50_cuda_client,layer4.2.bn1.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.049958,0.013512,0.041508,0.009978,0.124833,739.525318,ok
1779689584.1495368,resnet50_cuda_client,layer4.2.bn1.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.046716,0.012089,0.038920,0.009445,0.119627,739.525318,ok
1779689584.1496553,resnet50_cuda_client,layer4.2.bn2.running_mean,Tensor,cuda:0,torch.float32,512,512,True,0.045873,0.011693,0.039294,0.009527,0.114882,739.525318,ok
1779689584.1497715,resnet50_cuda_client,layer4.2.bn2.running_var,Tensor,cuda:0,torch.float32,512,512,True,0.045101,0.011274,0.039160,0.009385,0.113004,739.525318,ok
1779689584.1499257,resnet50_cuda_client,layer4.2.bn3.running_mean,Tensor,cuda:0,torch.float32,2048,2048,True,0.046605,0.011420,0.074426,0.009954,0.150226,739.525318,ok
1779689584.150082,resnet50_cuda_client,layer4.2.bn3.running_var,Tensor,cuda:0,torch.float32,2048,2048,True,0.049435,0.012768,0.071599,0.010245,0.152738,739.525318,ok
