model,threshold,sample_index,layer_name,layer_key,shape,numel,nbytes,fallback_reason,estimated_encode_ms,estimated_decode_ms
resnet50,16384,2,layer4.0.bn2.weight,layer4.0.bn2.weight|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.0.bn2.bias,layer4.0.bn2.bias|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.0.bn3.weight,layer4.0.bn3.weight|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.0.bn3.bias,layer4.0.bn3.bias|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.0.shortcut.1.weight,layer4.0.shortcut.1.weight|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.0.shortcut.1.bias,layer4.0.shortcut.1.bias|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.1.bn1.weight,layer4.1.bn1.weight|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.1.bn1.bias,layer4.1.bn1.bias|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.1.bn2.weight,layer4.1.bn2.weight|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.1.bn2.bias,layer4.1.bn2.bias|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.1.bn3.weight,layer4.1.bn3.weight|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.1.bn3.bias,layer4.1.bn3.bias|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.2.bn1.weight,layer4.2.bn1.weight|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.2.bn1.bias,layer4.2.bn1.bias|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.2.bn2.weight,layer4.2.bn2.weight|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.2.bn2.bias,layer4.2.bn2.bias|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer4.2.bn3.weight,layer4.2.bn3.weight|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
resnet50,16384,2,layer4.2.bn3.bias,layer4.2.bn3.bias|torch.float32|2048,2048,2048,8192,below_cuda_min_numel_or_gate,0.246429,0.188587
