payload_mb,direction,host_buffer_kind,allocation_policy,copy_api,sync_location,repeat_index,wall_ms,cuda_event_ms,gb_per_s_wall,gb_per_s_event,status
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,0.676066,0.653984,11.555830,11.946011,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,0.663045,0.647040,11.782762,12.074215,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,0.660399,0.646240,11.829970,12.089162,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,0.659224,0.645728,11.851062,12.098748,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,0.657918,0.644672,11.874581,12.118566,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,0.658950,0.645376,11.855986,12.105346,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,0.657535,0.644128,11.881494,12.128800,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,0.658322,0.644768,11.867291,12.116761,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,0.658037,0.643968,11.872430,12.131814,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,0.657385,0.644064,11.884204,12.130006,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,0.657531,0.644128,11.881578,12.128800,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,0.658482,0.644640,11.864404,12.119167,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,0.658166,0.645056,11.870112,12.111351,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,0.660094,0.645888,11.835445,12.095751,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,0.659216,0.645152,11.851195,12.109550,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,0.659927,0.645376,11.838434,12.105346,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,0.659673,0.645120,11.842980,12.110150,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,0.659160,0.644544,11.852200,12.120972,ok
8,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,0.659543,0.644864,11.845322,12.114957,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,0.708281,0.692192,11.030226,11.286608,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,0.704494,0.689664,11.089515,11.327980,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,0.702905,0.688672,11.114596,11.344297,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,0.703195,0.688832,11.110003,11.341663,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,0.703334,0.689344,11.107811,11.333239,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,0.702485,0.687968,11.121242,11.355906,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,0.702232,0.688192,11.125239,11.352210,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,0.701793,0.687584,11.132207,11.362248,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,0.701589,0.687648,11.135444,11.361191,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,0.701041,0.687200,11.144142,11.368597,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,0.703088,0.687680,11.111696,11.360662,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,0.714283,0.699072,10.937549,11.175530,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,0.701605,0.687616,11.135177,11.361719,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,0.700220,0.686816,11.157215,11.374954,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,0.700500,0.687360,11.152750,11.365951,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,0.699954,0.686912,11.161446,11.373364,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,0.700598,0.687392,11.151194,11.365422,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,0.701012,0.687776,11.144601,11.359076,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,0.700170,0.686688,11.158002,11.377074,ok
8,h2d,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,0.700388,0.686560,11.154530,11.379195,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,0,0.658499,0.645216,11.864102,12.108348,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,1,0.657016,0.644128,11.890875,12.128800,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,2,0.657227,0.644032,11.887067,12.130608,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,3,0.656832,0.643744,11.894213,12.136036,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,4,0.656255,0.643392,11.904679,12.142675,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,5,0.664162,0.651584,11.762935,11.990011,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,6,0.656690,0.643776,11.896777,12.135432,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,7,0.658561,0.645824,11.862994,12.096949,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,8,0.657010,0.644192,11.890993,12.127596,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,9,0.658551,0.645376,11.863162,12.105346,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,10,0.658958,0.645152,11.855835,12.109550,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,11,0.657031,0.643648,11.890605,12.137845,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,12,0.655940,0.643168,11.910392,12.146905,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,13,0.656365,0.643744,11.902669,12.136036,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,14,0.660962,0.647552,11.819885,12.064668,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,15,0.656556,0.643424,11.899207,12.142072,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,16,0.655899,0.643616,11.911136,12.138449,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,17,0.656893,0.643520,11.893100,12.140260,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,18,0.656436,0.643392,11.901385,12.142675,ok
8,d2h,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,19,0.655611,0.643424,11.916364,12.142072,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,0,0.703017,0.689408,11.112814,11.332186,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,1,0.700065,0.686816,11.159679,11.374954,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,2,0.699366,0.686144,11.170825,11.386094,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,3,0.698753,0.686016,11.180637,11.388218,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,4,0.699065,0.686016,11.175647,11.388218,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,5,0.699178,0.685952,11.173831,11.389281,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,6,0.701020,0.687328,11.144468,11.366480,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,7,0.699107,0.686112,11.174977,11.386625,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,8,0.699215,0.686240,11.173250,11.384501,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,9,0.698837,0.686336,11.179281,11.382909,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,10,0.698479,0.685824,11.185019,11.391407,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,11,0.699265,0.686304,11.172446,11.383440,ok
