model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,262144,37,24147936,9.490803,0.000000,10.040627,0.000000,10.015243,10.015243,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,38,24147936,10.282253,0.000000,10.196070,0.000000,10.172522,10.172522,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,39,24147936,9.466539,0.000000,10.100861,0.000000,10.078803,10.078803,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,40,24147936,10.252068,0.000000,10.177081,0.000000,10.156156,10.156156,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,41,24147936,9.509499,0.000000,10.006585,0.000000,9.983178,9.983178,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,42,24147936,10.296062,0.000000,10.198028,0.000000,10.175194,10.175194,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,43,24147936,9.469411,0.000000,10.008262,0.000000,9.984053,9.984053,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,44,24147936,10.233796,0.000000,10.154773,0.000000,10.131001,10.131001,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,45,24147936,9.405061,0.000000,9.986035,0.000000,9.963409,9.963409,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,46,24147936,10.270020,0.000000,10.151376,0.000000,10.128336,10.128336,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,47,24147936,9.426528,0.000000,10.029085,0.000000,10.004758,10.004758,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,48,24147936,10.255909,0.000000,10.162929,0.000000,10.138997,10.138997,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,49,24147936,9.400284,0.000000,10.083655,0.000000,10.058627,10.058627,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,50,24147936,10.286544,0.000000,10.186594,0.000000,10.164103,10.164103,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,51,24147936,9.484355,0.000000,10.036568,0.000000,10.014693,10.014693,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,52,24147936,14.068093,0.000000,10.637723,0.000000,10.595503,10.595503,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,53,24147936,9.458289,0.000000,10.344737,0.000000,10.319321,10.319321,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,54,24147936,10.199219,0.000000,10.177033,0.000000,10.152752,10.152752,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,55,24147936,9.457700,0.000000,9.990829,0.000000,9.969126,9.969126,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,56,24147936,10.221696,0.000000,10.196981,0.000000,10.174816,10.174816,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,57,24147936,9.443219,0.000000,9.966413,0.000000,9.942956,9.942956,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,58,24147936,10.234452,0.000000,10.136524,0.000000,10.113063,10.113063,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,59,24147936,9.346877,0.000000,9.944112,0.000000,9.923643,9.923643,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,60,24147936,10.195532,0.000000,10.129845,0.000000,10.107164,10.107164,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,61,24147936,9.442059,0.000000,10.791223,0.000000,10.765836,10.765836,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,62,24147936,10.231581,0.000000,10.160951,0.000000,10.134338,10.134338,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,63,24147936,9.447079,0.000000,10.009599,0.000000,9.987521,9.987521,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,64,24147936,10.235663,0.000000,10.154507,0.000000,10.132212,10.132212,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,65,24147936,9.425773,0.000000,9.995614,0.000000,9.971036,9.971036,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,66,24147936,10.220353,0.000000,10.183072,0.000000,10.160667,10.160667,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,67,24147936,9.450828,0.000000,9.994273,0.000000,9.973473,9.973473,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,68,24147936,10.227956,0.000000,10.134386,0.000000,10.112500,10.112500,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,69,24147936,9.378768,0.000000,9.948046,0.000000,9.925881,9.925881,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,70,24147936,10.158106,0.000000,10.104261,0.000000,10.080733,10.080733,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,71,24147936,9.383782,0.000000,9.983759,0.000000,9.960230,9.960230,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,72,24147936,10.242263,0.000000,10.140807,0.000000,10.118211,10.118211,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,73,24147936,9.372098,0.000000,9.994839,0.000000,9.971393,9.971393,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,74,24147936,10.176720,0.000000,10.067101,0.000000,10.046524,10.046524,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,75,24147936,9.414570,0.000000,10.038464,0.000000,10.015671,10.015671,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,76,24147936,10.182794,0.000000,10.159189,0.000000,10.137988,10.137988,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,77,24147936,9.370824,0.000000,9.979303,0.000000,9.958315,9.958315,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,78,24147936,10.140138,0.000000,10.106181,0.000000,10.084121,10.084121,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,79,24147936,9.396264,0.000000,9.988690,0.000000,9.965499,9.965499,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,80,24147936,10.152207,0.000000,10.167676,0.000000,10.136289,10.136289,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,81,24147936,9.366109,0.000000,9.948811,0.000000,9.928474,9.928474,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,82,24147936,10.150338,0.000000,10.155730,0.000000,10.132989,10.132989,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
