model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status
resnet50,4096,3,official,0,2,yes,yes,33.755071,33.743638,67.498709,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23941002,3.938674,3.763677,1.046496,0.000522209,0.019873722,1.000000000,pass,pass
resnet50,4096,4,official,0,1,yes,yes,33.699169,33.888312,67.587481,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23940219,3.938803,3.756542,1.048518,0.000522981,0.019804634,1.000000000,pass,pass
resnet50,2048,0,official,0,1,yes,yes,30.348047,32.850480,63.198526,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass
resnet50,2048,1,official,0,2,yes,yes,31.781786,34.979474,66.761260,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass
resnet50,2048,2,official,0,1,yes,yes,30.830681,32.823978,63.654659,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass
resnet50,2048,3,official,0,2,yes,yes,30.611257,34.867985,65.479242,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass
resnet50,2048,4,official,0,1,yes,yes,31.595954,34.263841,65.859795,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass
resnet18,262144,0,official,0,1,yes,yes,58.842067,42.279763,101.121830,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass
resnet18,262144,1,official,0,2,yes,yes,48.477047,44.770506,93.247553,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11383692,3.929675,3.800295,1.034045,0.006627977,0.019667389,1.000000000,pass,pass
resnet18,262144,2,official,0,1,yes,yes,48.035229,40.023158,88.058387,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass
resnet18,262144,3,official,0,2,yes,yes,48.141849,39.327323,87.469173,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11383692,3.929675,3.800295,1.034045,0.006627977,0.019667389,1.000000000,pass,pass
resnet18,262144,4,official,0,1,yes,yes,48.370943,39.273154,87.644097,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass
resnet18,65536,0,official,0,1,yes,yes,24.805270,18.481590,43.286860,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass
resnet18,65536,1,official,0,2,yes,yes,24.715213,18.426804,43.142017,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11318833,3.952193,3.800295,1.039970,0.005753480,0.020093651,1.000000000,pass,pass
resnet18,65536,2,official,0,1,yes,yes,24.677509,18.424599,43.102109,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass
resnet18,65536,3,official,0,2,yes,yes,24.691581,18.492212,43.183792,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11318833,3.952193,3.800295,1.039970,0.005753480,0.020093651,1.000000000,pass,pass
resnet18,65536,4,official,0,1,yes,yes,24.723151,18.648267,43.371418,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass
resnet18,16384,0,official,0,1,yes,yes,15.335489,11.834630,27.170119,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass
