model,threshold,round_index,clone_count,clone_bytes,clone_ms,decoded_tensor_alloc_count,decoded_tensor_alloc_bytes,decoded_tensor_alloc_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible
resnet18,65536,1,13,43876352,0.292837,13,10969088,0.035419,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,65536,2,13,43876352,0.277802,13,10969088,0.035415,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,65536,1,13,43876352,0.286908,13,10969088,0.035888,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,65536,2,13,43876352,0.276365,13,10969088,0.033839,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,65536,1,13,43876352,0.283292,13,10969088,0.036610,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,16384,1,18,44597248,0.330062,18,11149312,0.041141,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,16384,2,18,44597248,0.338261,18,11149312,0.042920,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,16384,1,18,44597248,0.343741,18,11149312,0.042010,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,16384,2,18,44597248,0.327226,18,11149312,0.043047,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,16384,1,18,44597248,0.334130,18,11149312,0.041805,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,8192,1,19,44630016,0.349804,19,11157504,0.043715,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,8192,2,19,44630016,0.342069,19,11157504,0.045174,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,8192,1,19,44630016,0.339300,19,11157504,0.043750,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,8192,2,19,44630016,0.343302,19,11157504,0.042439,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,8192,1,19,44630016,0.349571,19,11157504,0.042698,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,4096,1,20,44650496,0.351410,20,11162624,0.045592,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,4096,2,20,44650496,0.343955,20,11162624,0.043693,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,4096,1,20,44650496,0.348382,20,11162624,0.044423,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,4096,2,20,44650496,0.344767,20,11162624,0.046302,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,4096,1,20,44650496,0.342426,20,11162624,0.046137,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,2048,1,20,44650496,0.343312,20,11162624,0.047316,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,2048,2,20,44650496,0.348627,20,11162624,0.048911,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,2048,1,20,44650496,0.349195,20,11162624,0.044591,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,2048,2,20,44650496,0.352800,20,11162624,0.044540,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet18,2048,1,20,44650496,0.340096,20,11162624,0.047704,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
