model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,encode_kernel_ms,decode_kernel_ms,payload_d2h_ms,payload_h2d_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,decoded_tensor_alloc_ms,clone_count,clone_bytes,clone_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible,unaccounted_wrapper_ms
resnet50,16384,2,diagnostic,0,1,yes,yes,34.060933,34.681739,68.742672,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass,2.192409,0.423294,1.801081,3.204222,9.676911,19.355508,13.484308,10.319223,5.186138,0.106656,52,93847552,0.748403,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.244518
resnet50,16384,3,diagnostic,0,2,yes,yes,33.838137,34.554527,68.392664,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23944602,3.938082,3.763677,1.046339,0.000522209,0.019872639,1.000000000,pass,pass,2.217654,0.416817,1.790321,3.147519,9.704189,19.224535,13.333865,10.369201,5.089735,0.104417,52,93847552,0.704948,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.289464
resnet50,16384,4,diagnostic,0,1,yes,yes,35.615925,35.194462,70.810387,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass,2.250280,0.425740,1.796221,3.186384,9.643330,19.278758,14.044216,10.916849,6.121409,0.106590,52,93847552,0.737220,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.303390
resnet50,8192,0,diagnostic,0,1,yes,yes,34.121413,34.447851,68.569263,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass,2.217596,0.417276,1.790372,3.158083,9.707611,19.146597,13.498501,10.342077,5.216561,0.102786,52,93847552,0.742098,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.229705
resnet50,8192,1,diagnostic,0,2,yes,yes,34.872080,34.406467,69.278548,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23944602,3.938082,3.763677,1.046339,0.000522209,0.019872639,1.000000000,pass,pass,2.244797,0.426810,1.789976,3.204047,9.681251,19.082109,13.629622,10.287588,5.747402,0.109720,52,93847552,0.704104,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.371123
resnet50,8192,2,diagnostic,0,1,yes,yes,33.965838,34.725863,68.691702,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass,2.213229,0.411590,1.789933,3.210032,9.645922,19.214488,13.461416,10.541649,5.135541,0.096558,52,93847552,0.712103,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.259242
resnet50,8192,3,diagnostic,0,2,yes,yes,33.965721,34.329916,68.295637,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23944602,3.938082,3.763677,1.046339,0.000522209,0.019872639,1.000000000,pass,pass,2.186501,0.415846,1.791308,3.187611,9.706784,19.167011,13.394756,10.186717,5.177308,0.099674,52,93847552,0.709749,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.272373
resnet50,8192,4,diagnostic,0,1,yes,yes,33.930616,34.309135,68.239750,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass,2.229921,0.426730,1.790315,3.173546,9.617032,19.115070,13.442033,10.248412,5.118382,0.099789,52,93847552,0.709914,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.268607
resnet50,4096,0,diagnostic,0,1,yes,yes,33.026013,34.558007,67.584020,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23940219,3.938803,3.756542,1.048518,0.000522981,0.019804634,1.000000000,pass,pass,2.215657,0.424755,1.791029,3.171654,9.629539,19.188643,12.570568,10.354267,5.106535,0.106970,53,93863936,0.722121,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.302281
resnet50,4096,1,diagnostic,0,2,yes,yes,33.084772,34.059921,67.144693,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23941002,3.938674,3.763677,1.046496,0.000522209,0.019873722,1.000000000,pass,pass,2.262603,0.422059,1.800661,3.193838,9.601109,19.287064,12.507671,9.774396,5.187018,0.104549,53,93863936,0.720653,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.283072
