model,round_index,round_type,threshold,quant_mode,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v3_reference_compress_ms,cuda_v3_reference_decompress_ms,cuda_v3_reference_roundtrip_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,avg_numel_per_cuda_layer,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v3,roundtrip_speedup_vs_cuda_v3,strict_resnet50_compress_pass,practical_compress_pass,closed_loop_pass,encode_kernel_ms,payload_d2h_ms,payload_h2d_ms,decode_kernel_ms,decoded_tensor_materialize_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,kernel_launch_count,decode_kernel_launch_count,num_payload_objects,payload_blob_bytes,cpu_fallback_batches,cpu_fallback_payload_bytes,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet18,0,round0,262144,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,56.574904,40.858233,97.433138,8,93,39.375000,3.286865,1290240.000,52.452873,37.631190,90.084064,342.634694,339.071960,681.706654,6.532239,7.567450,2.329501,6.487614,1.078585,1.081580,,no,no,0.592389,0.792479,1.880234,0.126785,0.025980,3.920450,3.948384,35.677934,31.118603,3.437511,16,8,2,10321920,1,1047789,11370821,11635857,3.934123,3.844513,1.023308,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,262144,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,56.574904,40.858233,97.433138,8,93,39.375000,3.286865,1290240.000,63.345163,41.616648,104.961812,480.232378,452.160716,932.393095,7.581200,8.883165,1.928940,5.372060,0.893121,0.928272,,no,no,0.772321,0.797048,1.821505,0.160960,0.031505,4.069339,4.397256,44.532431,34.594223,4.368992,16,8,2,10321920,1,1055574,11378606,11723976,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,0.993461847,1.000000000,pass,pass,strong_success,research_record
resnet18,2,hot,262144,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,56.574904,40.858233,97.433138,8,93,39.375000,3.286865,1290240.000,51.577744,40.613541,92.191285,383.616503,513.291247,896.907751,7.437636,9.728769,2.369026,6.597691,1.096886,1.056858,,no,no,0.626629,0.792868,1.794007,0.157083,0.028047,3.948703,4.412552,41.509116,33.600160,3.592516,16,8,2,10321920,1,1059896,11382928,11771247,3.929939,3.800295,1.034114,0.006449129,0.025147129,1.000000000,0.992072642,1.000000000,pass,pass,strong_success,research_record
resnet18,0,round0,65536,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,13,88,41.843750,0.818115,843776.000,25.687547,17.023847,42.711395,342.634694,339.071960,681.706654,13.338552,15.960768,4.756741,13.247431,,,,yes,yes,0.754024,0.842042,1.892534,0.151597,0.036497,4.724993,3.664481,15.771364,10.770131,2.697892,26,13,2,10969088,1,345076,11315955,11635857,3.953198,3.844513,1.028270,0.000211338,0.011307787,1.000000000,0.984606922,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,1,hot,65536,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,13,88,41.843750,0.818115,843776.000,27.228433,19.044420,46.272852,480.232378,452.160716,932.393095,17.637166,20.149894,4.487552,12.497745,,,,yes,yes,0.810544,0.842074,1.854669,0.182703,0.036626,4.211482,4.269727,17.721917,12.106601,2.595440,26,13,2,10969088,1,346627,11317506,11723976,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,0.993207812,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,2,hot,65536,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,13,88,41.843750,0.818115,843776.000,26.886383,19.940997,46.827380,383.616503,513.291247,896.907751,14.268059,19.153490,4.544643,12.656741,,,,yes,yes,0.784659,0.841477,1.862725,0.177814,0.037301,3.962677,4.381812,17.842493,12.877382,2.430332,26,13,2,10969088,1,346964,11317843,11771247,3.952538,3.800295,1.040061,0.005491383,0.025735224,1.000000000,0.991730511,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,0,round0,16384,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,18,83,42.531250,0.130615,619406.222,17.328861,11.425751,28.754612,342.634694,339.071960,681.706654,19.772488,23.707732,7.051185,19.637413,,,,yes,yes,0.897438,0.856579,1.970569,0.167879,0.045008,4.873016,3.672898,7.754146,4.995402,2.050414,36,18,2,11149312,1,128164,11279939,11635857,3.965820,3.844513,1.031553,0.000211338,0.011362079,1.000000000,0.984405577,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,1,hot,16384,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,18,83,42.531250,0.130615,619406.222,17.276926,11.879471,29.156397,480.232378,452.160716,932.393095,27.796170,31.979023,7.072381,19.696444,,,,yes,yes,0.953247,0.855957,1.739083,0.204165,0.043991,4.380480,4.264102,7.982579,4.951934,2.072437,36,18,2,11149312,1,128222,11279997,11723976,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,0.993141651,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,2,hot,16384,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,,,,18,83,42.531250,0.130615,619406.222,16.915920,12.384489,29.300409,383.616503,513.291247,896.907751,22.677838,30.610758,7.223314,20.116789,,,,yes,yes,0.969982,0.856498,1.868818,0.199625,0.044283,4.304179,4.465216,7.465120,5.124397,2.264093,36,18,2,11149312,1,126356,11278131,11771247,3.966456,3.800295,1.043723,0.000823626,0.025880730,1.000000000,0.991637826,1.000000000,pass,pass,strong_success,v4_target_pass
