model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,fallback_reason
resnet18,0,round0,262144,8,layer3.0.conv1.weight,layer3.0.conv1.weight|torch.float32|256x128x3x3,cuda,1,256x128x3x3,294912,294912,8,
resnet18,0,round0,262144,8,layer3.0.conv2.weight,layer3.0.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet18,0,round0,262144,8,layer3.1.conv1.weight,layer3.1.conv1.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet18,0,round0,262144,8,layer3.1.conv2.weight,layer3.1.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,
resnet18,0,round0,262144,8,layer4.0.conv1.weight,layer4.0.conv1.weight|torch.float32|512x256x3x3,cuda,1,512x256x3x3,1179648,1179648,8,
resnet18,0,round0,262144,8,layer4.0.conv2.weight,layer4.0.conv2.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,
resnet18,0,round0,262144,8,layer4.1.conv1.weight,layer4.1.conv1.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,
resnet18,0,round0,262144,8,layer4.1.conv2.weight,layer4.1.conv2.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,
resnet18,0,round0,262144,8,conv1.weight,conv1.weight|torch.float32|64x3x3x3,cpu_batch,,64x3x3x3,1728,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,bn1.weight,bn1.weight|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,bn1.bias,bn1.bias|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,bn1.running_mean,bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,bn1.running_var,bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.conv1.weight,layer1.0.conv1.weight|torch.float32|64x64x3x3,cpu_batch,,64x64x3x3,36864,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn1.weight,layer1.0.bn1.weight|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn1.bias,layer1.0.bn1.bias|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn1.running_mean,layer1.0.bn1.running_mean|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn1.running_var,layer1.0.bn1.running_var|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.conv2.weight,layer1.0.conv2.weight|torch.float32|64x64x3x3,cpu_batch,,64x64x3x3,36864,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn2.weight,layer1.0.bn2.weight|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
resnet18,0,round0,262144,8,layer1.0.bn2.bias,layer1.0.bn2.bias|torch.float32|64,cpu_batch,,64,64,0,,below_cuda_min_numel_or_gate
