model,cpu_source,cpu_grouped_threads,cpu_pinning,cpu_grouped_compress_ms,cpu_grouped_decompress_ms,cpu_grouped_closed_loop_ms,gpu_source,gpu_codec,gpu_mode,gpu_compress_median_ms,gpu_decompress_median_ms,gpu_closed_loop_median_ms,compress_only_speedup_vs_cpu_grouped,closed_loop_speedup_vs_cpu_grouped,speedup_label,timing_scope
resnet50,reports/final_audit_report.md safe grouped OpenMP/SIMD 8T,8,OMP_PROC_BIND=close; OMP_PLACES=cores,211.360,273.430,484.790,logs/cuda_v4_guarded_all_cuda/quality.csv,cuda_v4_q8,guarded_all_cuda,22.550367,22.635253,44.865029,9.373,10.806,closed-loop headline,"Replay file load excluded; timed CUDA closed-loop includes codec kernel, internal payload D2H/H2D, and envelope serialize/parse."
resnet18,reports/final_audit_report.md safe grouped OpenMP/SIMD 8T,8,OMP_PROC_BIND=close; OMP_PLACES=cores,128.660,118.810,247.470,logs/cuda_v4_guarded_all_cuda/quality.csv,cuda_v4_q8,guarded_all_cuda,10.237377,10.455302,20.808104,12.568,11.893,supporting closed-loop,"Replay file load excluded; timed CUDA closed-loop includes codec kernel, internal payload D2H/H2D, and envelope serialize/parse."
