model,samples,diagnostic_source,cuda_visible_devices,timing_scope,compress_median_ms,decompress_median_ms,closed_loop_median_ms,encode_kernel_ms,decode_kernel_ms,payload_d2h_ms,payload_h2d_ms,envelope_serialize_ms,envelope_parse_ms,decoded_tensor_materialize_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,kernel_launch_count,decode_kernel_launch_count,cuda_layers,fallback_layers,payload_blob_bytes,final_payload_bytes,decode_status,correctness_status
resnet50,5,/scratch2/lgong1/Compressor/compressor_gpu_experiment,3,"Replay loading excluded; model tensors already on CUDA; codec internal payload D2H/H2D, kernels, and envelope overhead included.",69.072358,32.530609,101.675565,47.738601,1.278258,1.811125,5.680904,16.258241,19.844580,0.497057,0.000000,0.000000,0.000000,532,266,266,0,23573952,23603115,pass,pass
resnet18,5,/scratch2/lgong1/Compressor/compressor_gpu_experiment,3,"Replay loading excluded; model tensors already on CUDA; codec internal payload D2H/H2D, kernels, and envelope overhead included.",24.862717,10.768505,35.473376,17.426543,0.584679,0.862334,2.722598,5.190666,5.204893,0.183919,0.000000,0.000000,0.000000,202,101,101,0,11183552,11194644,pass,pass
