model,cpu_production_wire_format,cuda_v4_wire_format,cuda_experimental_gate,relative_l2_median,finite_rate_min,ratio_retention_median,decode_status,correctness_status,quality_pass,cuda_layers_median,fallback_layers_median,payload_objects_median,quality_constraints,source
resnet50,preserved CPU ABI and CPU wire format,experimental packed payload envelope; not CPU-wire-compatible,FALCOM_CUDA_EXPERIMENTAL=1,0.019808035,1.000000000,1.063493,pass,pass,yes,266,0,1,relative_l2_error<=0.03; finite_rate==1.0; ratio_retention>=0.8,logs/cuda_v4_guarded_all_cuda/quality.csv and official_timing.csv
resnet18,preserved CPU ABI and CPU wire format,experimental packed payload envelope; not CPU-wire-compatible,FALCOM_CUDA_EXPERIMENTAL=1,0.020186687,1.000000000,1.047284,pass,pass,yes,101,0,1,relative_l2_error<=0.03; finite_rate==1.0; ratio_retention>=0.8,logs/cuda_v4_guarded_all_cuda/quality.csv and official_timing.csv
