model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet50,1,hot,262144,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,203.740473,28,238,83.500000,6.427490,152.674187,108.581328,261.255515,1139.966941,839.976347,1979.943288,7.466665,7.578570,1.295995,6.274204,1.334479,3.846304,140,56,31.202649,8.780659,37.632095,3.854425,0.052040,96.909049,69.297457,7.780831,1,2255080,10.437500,13232060,25101758,7.126314,3.756542,1.897041,0.009484448,0.349213213,0.946077645,0.836502075,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,262144,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,203.740473,28,238,83.500000,6.427490,151.216769,107.897335,259.114103,1315.422707,842.469104,2157.891811,8.698921,8.327960,1.308486,6.334674,1.347340,3.884216,140,56,32.312076,7.227032,37.464978,3.955811,0.063200,95.594002,68.711056,7.910763,1,2256114,10.437500,13233094,25054171,7.125757,3.763677,1.893297,0.014661524,0.444672614,0.914757848,0.847145081,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,262144,adaptive_q6_q8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,109.735392,75.895691,185.631083,742.203127,670.256213,1412.459340,6.763571,7.608959,1.803110,8.729262,,3.908576,140,56,8.362230,11.461039,16.077983,2.872059,0.001364,75.212556,58.661959,7.794052,1,2245261,20.875000,24166745,24561786,3.901883,3.839127,1.016346,0.000225247,0.011509956,1.000000000,0.984721243,1.000000000,pass,pass,strong_success,research_record
resnet50,1,hot,262144,adaptive_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,390.066775,710.219417,1100.286192,1139.966941,839.976347,1979.943288,2.922492,1.799480,0.507259,2.455756,,4.677583,140,56,265.424835,9.036383,638.297984,5.022471,0.051545,97.710810,69.771528,7.862311,1,2255080,15.656250,18704314,25101758,5.041394,3.756542,1.342030,0.008403894,0.064460851,1.000000000,0.977868259,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,262144,adaptive_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,391.920925,711.018628,1102.939554,1315.422707,842.469104,2157.891811,3.356347,1.956491,0.504859,2.444138,,4.780195,140,56,263.000472,12.120033,636.139165,5.071213,0.057988,98.547849,72.675139,8.075056,1,2256114,15.656250,18705348,25054171,5.041115,3.763677,1.339412,0.005301053,0.089531258,0.998593032,0.971815169,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,262144,outlier_q6_q8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,123.691145,81.353904,205.045049,742.203127,670.256213,1412.459340,6.000455,6.888532,1.599670,7.744362,,4.025530,140,56,10.297742,16.773851,19.206906,2.951670,0.000541,81.032307,60.968045,8.472964,1,2245261,20.875000,24166744,24561786,3.901883,3.839127,1.016347,0.000225247,0.011509956,1.000000000,0.984721243,1.000000000,pass,pass,strong_success,research_record
resnet50,1,hot,262144,outlier_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,391.698732,717.795441,1109.494173,1139.966941,839.976347,1979.943288,2.910316,1.784546,0.505146,2.445525,,4.738563,140,56,263.184612,8.687443,642.744974,5.139049,0.045052,100.986973,72.966879,8.601424,1,2255080,15.656250,18704313,25101758,5.041394,3.756542,1.342030,0.008403894,0.064460851,1.000000000,0.977868259,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,262144,outlier_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,410.575877,695.164728,1105.740605,1315.422707,842.469104,2157.891811,3.203848,1.951535,0.481921,2.333086,,4.804308,140,56,260.000656,20.423103,625.802157,5.014664,0.060081,111.294877,67.409932,8.705738,1,2256114,15.656250,18705347,25054171,5.041115,3.763677,1.339412,0.005301053,0.089531258,0.998593032,0.971815169,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,524288,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,281.873816,17,249,72.500000,17.427490,190.327321,146.688210,337.015531,742.203127,670.256213,1412.459340,3.899614,4.191081,1.039604,5.032956,1.480995,2.648482,85,34,6.607159,11.318495,14.202193,2.428227,0.000739,155.187360,131.613164,11.995570,1,5257941,18.125000,24294908,24561786,3.881299,3.839127,1.010985,0.000225247,0.011045524,1.000000000,0.986281991,1.000000000,pass,pass,research_success,v3_target_pass
resnet50,1,hot,524288,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,281.873816,17,249,72.500000,17.427490,265.293616,166.519106,431.812722,1139.966941,839.976347,1979.943288,4.297001,4.585190,0.745834,3.610750,1.062498,2.571085,85,34,6.041032,7.245747,13.904632,2.810862,0.036435,234.346585,151.362068,11.954634,1,5336597,18.125000,24373570,25101758,3.868773,3.756542,1.029876,0.008403894,0.018260572,1.000000000,0.994185805,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,2,hot,524288,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,281.873816,17,249,72.500000,17.427490,268.736945,164.715817,433.452763,1315.422707,842.469104,2157.891811,4.894834,4.978378,0.736278,3.564486,1.048884,2.561898,85,34,6.417654,15.165479,14.278847,2.873997,0.037666,229.583699,149.146112,11.832416,1,5329632,18.125000,24366605,25054171,3.869879,3.763677,1.028218,0.005301053,0.023112655,1.000000000,0.992983282,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,0,round0,524288,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,422.646071,720.973882,1143.619953,742.203127,670.256213,1412.459340,1.756087,1.235078,0.468158,2.266457,,3.656491,85,34,234.961124,12.138429,588.313558,3.556003,0.002111,156.323703,131.416638,11.866628,1,5257941,15.859375,21919228,24561786,4.301968,3.839127,1.120559,0.000454070,0.021923561,1.000000000,0.972738743,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,1,hot,524288,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,502.040275,738.956426,1240.996702,1139.966941,839.976347,1979.943288,2.270668,1.595446,0.394122,1.908032,,3.357162,85,34,235.358129,10.349886,585.400677,4.221210,0.045499,236.219273,151.850634,12.083570,1,5336597,15.859375,21997890,25101758,4.286584,3.756542,1.141098,0.008403894,0.036585715,1.000000000,0.988299906,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,524288,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,479.066849,742.042089,1221.108938,1315.422707,842.469104,2157.891811,2.745802,1.767157,0.413022,1.999531,,3.333375,85,34,230.090572,8.627241,592.838986,4.121160,0.040784,220.693933,147.539070,11.898112,1,5329632,15.859375,21990925,25054171,4.287942,3.763677,1.139296,0.005301053,0.046401780,1.000000000,0.986166060,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,524288,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,414.163199,674.852105,1089.015304,742.203127,670.256213,1412.459340,1.792055,1.297006,0.477746,2.312878,,3.534162,85,34,227.140452,10.170604,541.073210,3.493371,0.001327,157.576897,132.536842,12.102290,1,5257941,13.593750,19543548,24561786,4.824907,3.839127,1.256772,0.000922786,0.044384904,1.000000000,0.944946706,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,1,hot,524288,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,489.328357,711.786020,1201.114377,1139.966941,839.976347,1979.943288,2.329656,1.648422,0.404360,1.957600,,3.281821,85,34,225.391811,10.370391,552.802253,4.122723,0.046320,233.870866,157.311903,11.894574,1,5336597,13.593750,19622210,25101758,4.805565,3.756542,1.279252,0.008403894,0.074256159,1.000000000,0.975212216,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,524288,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,534.863051,698.297100,1233.160151,1315.422707,842.469104,2157.891811,2.459364,1.749888,0.369936,1.790943,,3.770328,85,34,255.232288,6.752141,547.567779,4.952701,0.041997,250.545071,149.024728,13.290090,1,5329632,13.593750,19615245,25054171,4.807271,3.763677,1.277281,0.005301053,0.094225928,0.998357475,0.972049654,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,524288,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,312.801780,17,249,72.500000,17.427490,212.872097,162.559885,375.431982,742.203127,670.256213,1412.459340,3.486615,3.762224,0.929502,4.499927,1.469435,2.593250,85,34,28.015958,11.034789,29.832213,2.623356,0.001168,156.352418,131.802331,12.102760,1,5257941,9.062500,14792188,24561786,6.374703,3.839127,1.660457,0.004086624,0.196278587,0.982942104,0.763064146,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,1,hot,524288,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,312.801780,17,249,72.500000,17.427490,284.750771,185.157843,469.908614,1139.966941,839.976347,1979.943288,4.003385,4.213465,0.694871,3.364026,1.098511,2.580005,85,34,26.198535,8.596707,31.595498,2.977643,0.033281,232.483549,152.251788,11.602685,1,5336597,9.062500,14870850,25101758,6.340983,3.756542,1.687984,0.009484448,0.328761995,0.951993108,0.855782151,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,524288,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,312.801780,17,249,72.500000,17.427490,280.358808,192.883351,473.242159,1315.422707,842.469104,2157.891811,4.691926,4.559805,0.705756,3.416725,1.115719,2.516557,85,34,26.584736,10.777564,32.025127,3.028954,0.038017,225.640675,159.454484,11.509668,1,5329632,9.062500,14863885,25054171,6.343954,3.763677,1.685574,0.014661524,0.417228162,0.923933268,0.865513682,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,524288,adaptive_q6_q8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,202.173027,151.532354,353.705381,742.203127,670.256213,1412.459340,3.671128,3.993322,0.978691,4.738065,,2.736270,85,34,6.698123,12.370095,14.011994,2.552972,0.001198,165.416700,136.574634,12.231476,1,5257941,18.125000,24294906,24561786,3.881300,3.839127,1.010985,0.000225247,0.011045524,1.000000000,0.986281991,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
