model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet18,1,hot,262144,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,87.094923,8,93,39.375000,3.286865,65.717730,51.295615,117.013345,403.029788,407.150088,810.179876,6.132741,6.923825,1.859300,5.178116,1.325288,1.438656,40,16,14.216227,3.302149,16.123140,1.448172,0.018062,41.749435,34.552863,3.371007,1,1055574,4.921875,6228860,11723976,7.181765,3.815618,1.882203,0.009607933,0.355368078,0.942536592,0.835491002,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,262144,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,87.094923,8,93,39.375000,3.286865,65.463282,49.752188,115.215470,386.909902,380.007937,766.917839,5.910335,6.656379,1.866527,5.198242,1.330439,1.429911,40,16,14.759476,3.083287,16.287281,1.428050,0.018779,41.249270,32.878725,3.322258,1,1059896,4.921875,6233182,11771247,7.176785,3.800295,1.888481,0.014850896,0.455520123,0.910166502,0.845945120,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,262144,adaptive_q6_q8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,49.399908,35.325264,84.725171,313.485022,303.836022,617.321043,6.345862,7.286159,2.473466,6.888555,,1.391119,40,16,3.367446,6.023433,6.785815,1.110273,0.000987,34.075646,28.158295,3.348694,1,1047789,9.843750,11382027,11635857,3.930250,3.844513,1.022301,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,262144,adaptive_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,176.366247,325.249512,501.615759,403.029788,407.150088,810.179876,2.285187,1.615140,0.692814,1.929473,,1.606355,40,16,122.479855,4.448334,290.053223,1.869674,0.019722,42.201100,34.410300,3.556273,1,1055574,7.382812,8809338,11723976,5.078044,3.815618,1.330858,0.008458793,0.067301743,0.998575509,0.977035463,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,262144,adaptive_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,174.998338,326.386817,501.385155,386.909902,380.007937,766.917839,2.210935,1.529598,0.698229,1.944556,,1.573411,40,16,122.572253,4.371095,291.957366,1.793166,0.020749,40.948417,33.671756,3.554008,1,1059896,7.382812,8813660,11771247,5.075554,3.800295,1.335569,0.006449129,0.093113311,0.996487677,0.970874667,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,262144,outlier_q6_q8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,49.587855,35.403199,84.991055,313.485022,303.836022,617.321043,6.321810,7.263365,2.464091,6.862446,,1.402844,40,16,3.366872,6.156744,6.827741,1.093435,0.000688,34.138729,28.188279,3.344556,1,1047789,9.843750,11382026,11635857,3.930250,3.844513,1.022301,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,262144,outlier_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,176.144503,325.705194,501.849697,403.029788,407.150088,810.179876,2.288063,1.614387,0.693686,1.931902,,1.534219,40,16,122.292223,4.380195,290.622432,1.860016,0.020714,42.313563,34.330639,3.555462,1,1055574,7.382812,8809337,11723976,5.078045,3.815618,1.330858,0.008458793,0.067301743,0.998575509,0.977035463,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,262144,outlier_q6_q8,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,175.010816,326.479535,501.490351,386.909902,380.007937,766.917839,2.210777,1.529277,0.698180,1.944417,,1.573848,40,16,122.423729,4.410347,292.176312,1.819128,0.019411,41.050719,33.558825,3.552837,1,1059896,7.382812,8813659,11771247,5.075555,3.800295,1.335569,0.006449129,0.093113311,0.996487677,0.970874667,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,524288,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,82.571127,7,94,38.250000,4.411865,57.825493,42.414676,100.240169,313.485022,303.836022,617.321043,5.421225,6.158420,2.113065,5.884844,1.427936,1.290387,35,14,3.231497,6.202681,6.476266,1.080936,0.001049,42.136250,35.557290,3.782737,1,1361326,9.562500,11400569,11635857,3.923857,3.844513,1.020638,0.000211338,0.010994529,1.000000000,0.985661328,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,524288,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,82.571127,7,94,38.250000,4.411865,68.573684,50.713064,119.286749,403.029788,407.150088,810.179876,5.877324,6.791868,1.781864,4.962458,1.204123,1.295299,35,14,3.101602,6.182827,7.000363,1.297774,0.021731,52.683759,43.133335,3.806223,1,1369487,9.562500,11408736,11723976,3.921049,3.815618,1.027631,0.008458793,0.019434430,1.000000000,0.993572891,1.000000000,pass,pass,strong_success,research_record
